customer_id,age,signup_date,segment,region
5001,31,2023-12-02,Standard,West
5002,39,2023-12-01,Premium,West
5003,66,2023-10-12,Premium,West
5004,71,2023-09-16,Standard,North
5005,19,2024-04-26,Budget,North
5006,32,2023-12-25,Premium,North
5007,20,2024-10-29,Standard,North
5008,30,2023-09-11,Standard,North
5009,27,2024-09-28,Premium,South
5010,48,2023-05-10,Premium,North
5011,31,2024-07-31,Standard,West
5012,34,2024-12-17,Standard,East
5013,56,2023-06-21,Standard,North
5014,37,2023-06-17,Standard,North
5015,19,2024-08-15,Budget,East
5016,61,2024-08-12,Standard,West
5017,63,2024-02-11,Standard,South
5018,55,2023-03-19,Standard,South
5019,62,2023-04-15,Standard,East
5020,56,2024-12-01,Budget,North
5021,68,2024-08-02,Standard,North
5022,52,2023-12-22,Standard,West
5023,41,2024-11-08,Premium,North
5024,59,2024-06-02,Standard,East
5025,72,2023-01-13,Premium,West
5026,24,2024-05-16,Standard,West
5027,58,2024-01-06,Budget,West
5028,27,2024-12-25,Standard,West
5029,64,2023-06-30,Standard,East
5030,69,2024-09-22,Standard,West
5031,45,2024-04-21,Budget,East
5032,72,2023-11-27,Standard,South
5033,35,2023-03-30,Standard,West
5034,66,2023-09-07,Premium,West
5035,57,2024-08-06,Premium,West
5036,19,2023-12-11,Budget,West
5037,29,2023-11-29,Standard,West
5038,40,2023-08-06,Premium,East
5039,35,2023-12-15,Standard,East
5040,18,2024-07-23,Standard,South
5041,33,2023-03-29,Budget,West
5042,53,2024-05-15,Budget,South
5043,48,2024-12-08,Budget,West
5044,68,2024-04-03,Standard,North
5045,36,2023-04-06,Premium,South
5046,62,2024-02-19,Budget,South
5047,60,2023-11-10,Premium,East
5048,53,2024-04-29,Budget,East
5049,65,2024-03-11,Budget,East
5050,62,2023-12-27,Standard,West
5051,37,2023-10-05,Standard,East
5052,25,2023-08-25,Standard,South
5053,25,2023-11-20,Budget,South
5054,31,2023-07-16,Standard,West
5055,64,2023-10-11,Premium,East
5056,71,2023-04-13,Standard,South
5057,32,2023-10-31,Budget,East
5058,37,2023-07-03,Standard,North
5059,52,2024-12-26,Standard,South
5060,20,2023-10-08,Premium,North
5061,36,2024-07-20,Standard,South
5062,73,2024-10-15,Budget,West
5063,73,2023-04-16,Premium,North
5064,36,2024-08-10,Standard,West
5065,46,2024-05-05,Budget,East
5066,21,2023-07-08,Budget,East
5067,25,2024-05-04,Budget,North
5068,49,2024-02-15,Standard,North
5069,58,2024-08-13,Standard,North
5070,27,2023-06-05,Standard,East
5071,33,2023-03-29,Budget,North
5072,66,2024-07-25,Budget,West
5073,56,2024-09-12,Budget,South
5074,42,2024-06-19,Budget,West
5075,37,2024-03-29,Standard,West
5076,54,2023-11-09,Standard,North
5077,65,2024-09-16,Budget,North
5078,58,2023-08-01,Standard,South
5079,60,2023-09-28,Standard,North
5080,33,2023-06-10,Budget,South
5081,22,2024-07-19,Budget,South
5082,44,2023-01-03,Standard,West
5083,56,2024-12-06,Standard,West
5084,20,2023-10-26,Premium,South
5085,63,2023-10-23,Standard,East
5086,73,2024-12-20,Premium,West
5087,61,2023-03-14,Premium,South
5088,68,2023-09-28,Standard,South
5089,25,2024-03-11,Standard,South
5090,27,2024-10-25,Budget,East
5091,22,2023-05-26,Premium,North
5092,68,2023-06-19,Premium,East
5093,65,2024-09-01,Budget,East
5094,25,2024-03-25,Standard,West
5095,37,2024-12-06,Premium,West
5096,50,2023-10-06,Standard,West
5097,23,2024-03-24,Budget,North
5098,65,2024-03-18,Standard,East
5099,34,2024-09-10,Standard,North
5100,32,2023-04-04,Premium,North
5101,70,2024-11-19,Premium,East
5102,20,2024-08-13,Budget,South
5103,51,2024-04-26,Standard,West
5104,29,2023-10-12,Budget,West
5105,70,2024-10-12,Standard,West
5106,48,2023-04-04,Budget,East
5107,39,2024-02-23,Standard,East
5108,24,2024-11-17,Standard,South
5109,44,2023-12-04,Budget,West
5110,60,2023-10-23,Premium,West
5111,20,2024-07-17,Standard,West
5112,38,2023-04-01,Premium,East
5113,25,2023-11-28,Premium,West
5114,70,2024-06-10,Budget,North
5115,73,2024-11-04,Budget,West
